"Crash ID","City","Crash Date","Crash Death Count","Weather Condition","Vehicle Make","Vehicle Model Name","Vehicle Model Year","Person Death Count","Person Helmet"
"19312381","WACO","2023-01-01","0","1 - CLEAR","NISSAN","TITAN (NISSAN)","2005","0","97 - NOT APPLICABLE"
"19312381","WACO","2023-01-01","0","1 - CLEAR","POLARIS","SLINGSHOT (POLARIS)","2022","0","1 - NOT WORN"
"19312381","WACO","2023-01-01","0","1 - CLEAR","POLARIS","SLINGSHOT (POLARIS)","2022","0","1 - NOT WORN"
"19312477","MINERAL WELLS","2023-01-01","0","1 - CLEAR","HONDA","CMX250 (HONDA)","2006","0","4 - WORN, UNK DAMAGE"
"19312477","MINERAL WELLS","2023-01-01","0","1 - CLEAR","CHEVROLET","CRUZE (CHEVROLET)","2015","0","97 - NOT APPLICABLE"
"19312477","MINERAL WELLS","2023-01-01","0","1 - CLEAR","CHEVROLET","CRUZE (CHEVROLET)","2015","0","97 - NOT APPLICABLE"
"19313464","TYLER","2023-01-01","0","1 - CLEAR","HARLEY-DAVIDSON","UNKNOWN (HARLEY-DAVIDSON)","2016","0","2 - WORN, DAMAGED"
"19315648","EULESS","2023-01-01","0","1 - CLEAR","DODGE","DART (DODGE)","2016","0","97 - NOT APPLICABLE"
"19315648","EULESS","2023-01-01","0","1 - CLEAR","DODGE","DART (DODGE)","2016","0","97 - NOT APPLICABLE"
"19315648","EULESS","2023-01-01","0","1 - CLEAR","YAMAHA","UNKNOWN (YAMAHA)","2021","0","99 - UNKNOWN IF WORN"
"19318190","OUTSIDE CITY LIMITS","2023-01-01","0","1 - CLEAR","HARLEY-DAVIDSON","FLHRXS (HARLEY-DAVIDSON)","2021","0","3 - WORN, NOT DAMAGED"
"19319952","WEBBERVILLE","2023-01-01","1","1 - CLEAR","HARLEY-DAVIDSON","FLHTCUI (HARLEY-DAVIDSON)","2001","1","1 - NOT WORN"
"19320011","DENTON","2023-01-01","1","1 - CLEAR","SUZUKI","GSX-R750 (SUZUKI)","2002","1","2 - WORN, DAMAGED"
"19320011","DENTON","2023-01-01","1","1 - CLEAR","MERCURY","SABLE (MERCURY)","2008","0","97 - NOT APPLICABLE"
"19320011","DENTON","2023-01-01","1","1 - CLEAR","MERCURY","SABLE (MERCURY)","2008","0","97 - NOT APPLICABLE"
"19320391","OUTSIDE CITY LIMITS","2023-01-01","0","2 - CLOUDY","HARLEY-DAVIDSON","FLHX (HARLEY-DAVIDSON)","2017","0","2 - WORN, DAMAGED"
"19320391","OUTSIDE CITY LIMITS","2023-01-01","0","2 - CLOUDY","HARLEY-DAVIDSON","FLHX (HARLEY-DAVIDSON)","2017","0","2 - WORN, DAMAGED"
"19320460","OUTSIDE CITY LIMITS","2023-01-01","0","1 - CLEAR","TRIUMPH MOTORCYCLE","T509 (TRIUMPH MOTORCYCLE)","2006","0","2 - WORN, DAMAGED"
"19321334","SULPHUR SPRINGS","2023-01-01","0","1 - CLEAR","TOYOTA","RAV4 (TOYOTA)","2007","0","97 - NOT APPLICABLE"
"19321334","SULPHUR SPRINGS","2023-01-01","0","1 - CLEAR","TOYOTA","RAV4 (TOYOTA)","2007","0","97 - NOT APPLICABLE"
"19321334","SULPHUR SPRINGS","2023-01-01","0","1 - CLEAR","HARLEY-DAVIDSON","FLH (HARLEY-DAVIDSON)","2012","0","1 - NOT WORN"
"19321334","SULPHUR SPRINGS","2023-01-01","0","1 - CLEAR","HARLEY-DAVIDSON","FLH (HARLEY-DAVIDSON)","2012","0","1 - NOT WORN"
"19332776","LEAGUE CITY","2023-01-01","0","6 - FOG","HONDA","CBR300 (HONDA)","2016","0","2 - WORN, DAMAGED"
"19335316","DALLAS","2023-01-01","0","1 - CLEAR","No Data","No Data","No Data","0","97 - NOT APPLICABLE"
"19335316","DALLAS","2023-01-01","0","1 - CLEAR","YAMAHA","UNKNOWN (YAMAHA)","2016","0","4 - WORN, UNK DAMAGE"
"19343838","OUTSIDE CITY LIMITS","2023-01-01","0","1 - CLEAR","HONDA","ATC350 (HONDA)","2019","0","2 - WORN, DAMAGED"
"19347928","BAYTOWN","2023-01-01","1","6 - FOG","FORD","MUSTANG (FORD)","2014","0","97 - NOT APPLICABLE"
"19347928","BAYTOWN","2023-01-01","1","6 - FOG","FORD","MUSTANG (FORD)","2014","0","97 - NOT APPLICABLE"
"19347928","BAYTOWN","2023-01-01","1","6 - FOG","KAWASAKI","EX300 (KAWASAKI)","2014","1","2 - WORN, DAMAGED"
"19347928","BAYTOWN","2023-01-01","1","6 - FOG","INFINITI","G37 (INFINITI)","2009","0","97 - NOT APPLICABLE"
"19315941","HOUSTON","2023-01-02","0","3 - RAIN","HONDA","UNKNOWN (HONDA)","2002","0","99 - UNKNOWN IF WORN"
"19324653","SAN MARCOS","2023-01-02","0","1 - CLEAR","KIA","SOUL (KIA)","2011","0","97 - NOT APPLICABLE"
"19324653","SAN MARCOS","2023-01-02","0","1 - CLEAR","YAMAHA","YZFR3 (YAMAHA)","2016","0","2 - WORN, DAMAGED"
"19330882","MCALLEN","2023-01-02","0","1 - CLEAR","CHEVROLET","SILVERADO (CHEVROLET)","2008","0","97 - NOT APPLICABLE"
"19330882","MCALLEN","2023-01-02","0","1 - CLEAR","YAMAHA","XVS65 (YAMAHA)","2007","0","3 - WORN, NOT DAMAGED"
"19335553","OUTSIDE CITY LIMITS","2023-01-02","0","1 - CLEAR","UNKNOWN","UNKNOWN (UNKNOWN)","2021","0","1 - NOT WORN"
"19335553","OUTSIDE CITY LIMITS","2023-01-02","0","1 - CLEAR","JAGUAR","XJ (JAGUAR)","2016","0","97 - NOT APPLICABLE"
"19316393","PASADENA","2023-01-03","0","1 - CLEAR","No Data","No Data","No Data","0","97 - NOT APPLICABLE"
"19316393","PASADENA","2023-01-03","0","1 - CLEAR","KAWASAKI","NINJA ZX (KAWASAKI)","2023","0","2 - WORN, DAMAGED"
"19316849","DALLAS","2023-01-03","0","1 - CLEAR","FORD","ESCAPE (FORD)","2019","0","97 - NOT APPLICABLE"
"19316849","DALLAS","2023-01-03","0","1 - CLEAR","SUZUKI","SV650 (SUZUKI)","2017","0","3 - WORN, NOT DAMAGED"
"19317303","DALLAS","2023-01-03","0","1 - CLEAR","SUBARU","LEGACY (SUBARU)","2018","0","97 - NOT APPLICABLE"
"19317303","DALLAS","2023-01-03","0","1 - CLEAR","HONDA","UNKNOWN (HONDA)","2005","0","99 - UNKNOWN IF WORN"
"19329200","GARLAND","2023-01-03","0","1 - CLEAR","FORD","FOCUS (FORD)","2016","0","97 - NOT APPLICABLE"
"19329200","GARLAND","2023-01-03","0","1 - CLEAR","HONDA","CROSSTOUR (HONDA)","2002","0","1 - NOT WORN"
"19358200","ADDISON","2023-01-03","0","1 - CLEAR","NISSAN","TITAN (NISSAN)","2014","0","97 - NOT APPLICABLE"
"19358200","ADDISON","2023-01-03","0","1 - CLEAR","HONDA","CBR600 (HONDA)","2012","0","2 - WORN, DAMAGED"
"19318895","BROWNSVILLE","2023-01-04","0","1 - CLEAR","HONDA","UNKNOWN (HONDA)","2018","0","3 - WORN, NOT DAMAGED"
"19318895","BROWNSVILLE","2023-01-04","0","1 - CLEAR","CHEVROLET","TAHOE (CHEVROLET)","2012","0","97 - NOT APPLICABLE"
"19318895","BROWNSVILLE","2023-01-04","0","1 - CLEAR","CHEVROLET","TAHOE (CHEVROLET)","2012","0","97 - NOT APPLICABLE"
"19318895","BROWNSVILLE","2023-01-04","0","1 - CLEAR","CHEVROLET","TAHOE (CHEVROLET)","2012","0","97 - NOT APPLICABLE"
"19319664","OUTSIDE CITY LIMITS","2023-01-04","1","1 - CLEAR","HARLEY-DAVIDSON","UNKNOWN (HARLEY-DAVIDSON)","2016","1","1 - NOT WORN"
"19326904","OUTSIDE CITY LIMITS","2023-01-04","0","1 - CLEAR","SUZUKI","M109R / VZR1800 (SUZUKI)","2017","0","2 - WORN, DAMAGED"
"19326904","OUTSIDE CITY LIMITS","2023-01-04","0","1 - CLEAR","CHEVROLET","UNKNOWN (CHEVROLET)","2021","0","97 - NOT APPLICABLE"
"19329324","GARLAND","2023-01-04","0","1 - CLEAR","TRIUMPH MOTORCYCLE","SPEED (TRIUMPH MOTORCYCLE)","2020","0","2 - WORN, DAMAGED"
"19329324","GARLAND","2023-01-04","0","1 - CLEAR","MAZDA","MAZDA3 (MAZDA)","2012","0","97 - NOT APPLICABLE"
"19329324","GARLAND","2023-01-04","0","1 - CLEAR","MAZDA","MAZDA3 (MAZDA)","2012","0","97 - NOT APPLICABLE"
"19331114","SLATON","2023-01-04","0","1 - CLEAR","CADILLAC","DEVILLE (CADILLAC)","2002","0","97 - NOT APPLICABLE"
"19331114","SLATON","2023-01-04","0","1 - CLEAR","HONDA","VT750 (HONDA)","2011","0","1 - NOT WORN"
"19338648","OUTSIDE CITY LIMITS","2023-01-04","0","1 - CLEAR","HARLEY-DAVIDSON","FLH (HARLEY-DAVIDSON)","2018","0","2 - WORN, DAMAGED"
"19349755","OUTSIDE CITY LIMITS","2023-01-04","0","1 - CLEAR","FORD","MUSTANG (FORD)","2019","0","97 - NOT APPLICABLE"
"19349755","OUTSIDE CITY LIMITS","2023-01-04","0","1 - CLEAR","TOYOTA","CAMRY (TOYOTA)","2017","0","97 - NOT APPLICABLE"
"19349755","OUTSIDE CITY LIMITS","2023-01-04","0","1 - CLEAR","HONDA","CBR1000 (HONDA)","2014","0","1 - NOT WORN"
"19320787","AUSTIN","2023-01-05","0","1 - CLEAR","HONDA","CBR600 (HONDA)","2001","0","1 - NOT WORN"
"19325792","OUTSIDE CITY LIMITS","2023-01-05","0","1 - CLEAR","BUICK","ENCORE (BUICK)","2016","0","97 - NOT APPLICABLE"
"19325792","OUTSIDE CITY LIMITS","2023-01-05","0","1 - CLEAR","KAWASAKI","UNKNOWN (KAWASAKI)","2018","0","4 - WORN, UNK DAMAGE"
"19327186","OUTSIDE CITY LIMITS","2023-01-05","0","1 - CLEAR","SUZUKI","GSX-R750 (SUZUKI)","2007","0","4 - WORN, UNK DAMAGE"
"19327186","OUTSIDE CITY LIMITS","2023-01-05","0","1 - CLEAR","NISSAN","TITAN (NISSAN)","2005","0","97 - NOT APPLICABLE"
"19353244","OUTSIDE CITY LIMITS","2023-01-05","0","1 - CLEAR","HARLEY-DAVIDSON","ELW (HARLEY-DAVIDSON)","2004","0","1 - NOT WORN"
"19322648","ABILENE","2023-01-06","0","1 - CLEAR","HARLEY-DAVIDSON","XLS (HARLEY-DAVIDSON)","2005","0","1 - NOT WORN"
"19322648","ABILENE","2023-01-06","0","1 - CLEAR","CHEVROLET","C1500 SUBURBAN (CHEVROLET)","2007","0","97 - NOT APPLICABLE"
"19322648","ABILENE","2023-01-06","0","1 - CLEAR","CHEVROLET","C1500 SUBURBAN (CHEVROLET)","2007","0","97 - NOT APPLICABLE"
"19322668","BUDA","2023-01-06","0","2 - CLOUDY","SUZUKI","GSX (SUZUKI)","2006","0","4 - WORN, UNK DAMAGE"
"19322782","HOUSTON","2023-01-06","1","1 - CLEAR","HONDA","CBR1000 (HONDA)","2008","1","2 - WORN, DAMAGED"
"19322782","HOUSTON","2023-01-06","1","1 - CLEAR","UNKNOWN","UNKNOWN (UNKNOWN)","No Data","0","97 - NOT APPLICABLE"
"19322782","HOUSTON","2023-01-06","1","1 - CLEAR","FREIGHTLINER","UNKNOWN (FREIGHTLINER)","2021","0","97 - NOT APPLICABLE"
"19327248","OUTSIDE CITY LIMITS","2023-01-06","0","1 - CLEAR","YAMAHA","UNKNOWN (YAMAHA)","2005","0","1 - NOT WORN"
"19328805","CORSICANA","2023-01-06","0","2 - CLOUDY","SUZUKI","GSX1300 (SUZUKI)","2012","0","1 - NOT WORN"
"19328805","CORSICANA","2023-01-06","0","2 - CLOUDY","RAM","3500 (RAM)","2019","0","97 - NOT APPLICABLE"
"19330148","HOUSTON","2023-01-06","0","1 - CLEAR","INDIAN MOTORCYCLE CO.","UNKNOWN (INDIAN MOTORCYCLE CO.)","2016","0","2 - WORN, DAMAGED"
"19330148","HOUSTON","2023-01-06","0","1 - CLEAR","CHEVROLET","SILVERADO (CHEVROLET)","2010","0","97 - NOT APPLICABLE"
"19331304","GARLAND","2023-01-06","0","1 - CLEAR","HONDA","CIVIC (HONDA)","2000","0","97 - NOT APPLICABLE"
"19331304","GARLAND","2023-01-06","0","1 - CLEAR","HONDA","CIVIC (HONDA)","2000","0","97 - NOT APPLICABLE"
"19331304","GARLAND","2023-01-06","0","1 - CLEAR","KAWASAKI","KLX140 (KAWASAKI)","2013","0","3 - WORN, NOT DAMAGED"
"19337560","FLOWER MOUND","2023-01-06","1","1 - CLEAR","KAWASAKI","UNKNOWN (KAWASAKI)","2005","1","2 - WORN, DAMAGED"
"19339834","DALLAS","2023-01-06","0","1 - CLEAR","ACURA","ILX (ACURA)","2016","0","97 - NOT APPLICABLE"
"19339834","DALLAS","2023-01-06","0","1 - CLEAR","HONDA","VT1100 (HONDA)","2010","0","1 - NOT WORN"
"19340766","KILLEEN","2023-01-06","0","2 - CLOUDY","SATURN","SC2 (SATURN)","2001","0","97 - NOT APPLICABLE"
"19340766","KILLEEN","2023-01-06","0","2 - CLOUDY","SATURN","SC2 (SATURN)","2001","0","97 - NOT APPLICABLE"
"19340766","KILLEEN","2023-01-06","0","2 - CLOUDY","HARLEY-DAVIDSON","FLD (HARLEY-DAVIDSON)","2007","0","1 - NOT WORN"
"19341751","DALLAS","2023-01-06","0","1 - CLEAR","HONDA","CBR1000 (HONDA)","2004","0","2 - WORN, DAMAGED"
"19341751","DALLAS","2023-01-06","0","1 - CLEAR","NISSAN","ALTIMA (NISSAN)","2018","0","97 - NOT APPLICABLE"
"19341751","DALLAS","2023-01-06","0","1 - CLEAR","NISSAN","ALTIMA (NISSAN)","2018","0","97 - NOT APPLICABLE"
"19347732","OUTSIDE CITY LIMITS","2023-01-06","0","1 - CLEAR","VICTORIA IRON & METAL","NOT APPLICABLE (VICTORIA IRON & METAL)","2005","0","4 - WORN, UNK DAMAGE"
"19323234","OUTSIDE CITY LIMITS","2023-01-07","0","1 - CLEAR","FORD","F350 (FORD)","1999","0","97 - NOT APPLICABLE"
"19323234","OUTSIDE CITY LIMITS","2023-01-07","0","1 - CLEAR","HARLEY-DAVIDSON","FLD (HARLEY-DAVIDSON)","2007","0","1 - NOT WORN"
"19323507","OUTSIDE CITY LIMITS","2023-01-07","0","1 - CLEAR","HARLEY-DAVIDSON","FLHTCUTG (HARLEY-DAVIDSON)","2020","0","4 - WORN, UNK DAMAGE"
"19323628","ROBINSON","2023-01-07","0","3 - RAIN","HARLEY-DAVIDSON","FLHCS (HARLEY-DAVIDSON)","2008","0","1 - NOT WORN"
"19324641","KAUFMAN","2023-01-07","0","2 - CLOUDY","HARLEY-DAVIDSON","FLH (HARLEY-DAVIDSON)","2018","0","1 - NOT WORN"
"19324641","KAUFMAN","2023-01-07","0","2 - CLOUDY","LINCOLN","MKX (LINCOLN)","2016","0","97 - NOT APPLICABLE"
"19324641","KAUFMAN","2023-01-07","0","2 - CLOUDY","LINCOLN","MKX (LINCOLN)","2016","0","97 - NOT APPLICABLE"
"19325046","AUSTIN","2023-01-07","0","2 - CLOUDY","MOTO GUZZI","UNKNOWN (MOTO GUZZI)","2012","0","2 - WORN, DAMAGED"
"19338734","LITTLE ELM","2023-01-07","0","1 - CLEAR","HARLEY-DAVIDSON","FLH (HARLEY-DAVIDSON)","2019","0","1 - NOT WORN"
"19338734","LITTLE ELM","2023-01-07","0","1 - CLEAR","KENWORTH","UNKNOWN (KENWORTH)","2016","0","97 - NOT APPLICABLE"
"19338865","FORT WORTH","2023-01-07","1","1 - CLEAR","HARLEY-DAVIDSON","FXS (HARLEY-DAVIDSON)","2015","1","1 - NOT WORN"
"19339926","OUTSIDE CITY LIMITS","2023-01-07","0","2 - CLOUDY","KAWASAKI","ZX636 (KAWASAKI)","2006","0","2 - WORN, DAMAGED"
"19340140","DALLAS","2023-01-07","0","1 - CLEAR","YAMAHA","YFZ350 (YAMAHA)","2019","0","3 - WORN, NOT DAMAGED"
"19343787","OUTSIDE CITY LIMITS","2023-01-07","0","2 - CLOUDY","NISSAN","FRONTIER (NISSAN)","2019","0","97 - NOT APPLICABLE"
"19343787","OUTSIDE CITY LIMITS","2023-01-07","0","2 - CLOUDY","HONDA","CBR250 (HONDA)","2013","0","4 - WORN, UNK DAMAGE"
"19345031","OUTSIDE CITY LIMITS","2023-01-07","1","1 - CLEAR","SUZUKI","GSX-R1000 (SUZUKI)","2008","1","3 - WORN, NOT DAMAGED"
"19345031","OUTSIDE CITY LIMITS","2023-01-07","1","1 - CLEAR","CHEVROLET","3500HD (CHEVROLET)","2021","0","97 - NOT APPLICABLE"
"19345031","OUTSIDE CITY LIMITS","2023-01-07","1","1 - CLEAR","CHEVROLET","3500HD (CHEVROLET)","2021","0","97 - NOT APPLICABLE"
"19324346","BEAUMONT","2023-01-08","0","1 - CLEAR","HARLEY-DAVIDSON","FLH (HARLEY-DAVIDSON)","2017","0","2 - WORN, DAMAGED"
"19324346","BEAUMONT","2023-01-08","0","1 - CLEAR","CHEVROLET","SILVERADO (CHEVROLET)","2016","0","97 - NOT APPLICABLE"
"19324423","GLADEWATER","2023-01-08","0","1 - CLEAR","SUZUKI","GSX-R600 (SUZUKI)","2015","0","1 - NOT WORN"
"19324629","VICTORIA","2023-01-08","0","1 - CLEAR","HARLEY-DAVIDSON","FXDBP (HARLEY-DAVIDSON)","2007","0","4 - WORN, UNK DAMAGE"
"19324631","MESQUITE","2023-01-08","0","1 - CLEAR","HARLEY-DAVIDSON","UNKNOWN (HARLEY-DAVIDSON)","2014","0","1 - NOT WORN"
"19328057","OUTSIDE CITY LIMITS","2023-01-08","0","1 - CLEAR","TOYOTA","COROLLA (TOYOTA)","2016","0","97 - NOT APPLICABLE"
"19328057","OUTSIDE CITY LIMITS","2023-01-08","0","1 - CLEAR","TOYOTA","COROLLA (TOYOTA)","2016","0","97 - NOT APPLICABLE"
"19328057","OUTSIDE CITY LIMITS","2023-01-08","0","1 - CLEAR","HARLEY-DAVIDSON","FLSTC (HARLEY-DAVIDSON)","2016","0","2 - WORN, DAMAGED"
"19329629","LIVE OAK","2023-01-08","0","1 - CLEAR","GMC","C1500 (GMC)","2002","0","97 - NOT APPLICABLE"
"19329629","LIVE OAK","2023-01-08","0","1 - CLEAR","GMC","C1500 (GMC)","2002","0","97 - NOT APPLICABLE"
"19329629","LIVE OAK","2023-01-08","0","1 - CLEAR","KTM","380 (KTM)","2018","0","2 - WORN, DAMAGED"
"19329629","LIVE OAK","2023-01-08","0","1 - CLEAR","DODGE","RAM 1500 (DODGE)","2019","0","97 - NOT APPLICABLE"
"19329629","LIVE OAK","2023-01-08","0","1 - CLEAR","DODGE","RAM 1500 (DODGE)","2019","0","97 - NOT APPLICABLE"
"19329629","LIVE OAK","2023-01-08","0","1 - CLEAR","DODGE","RAM 1500 (DODGE)","2019","0","97 - NOT APPLICABLE"
"19335239","OUTSIDE CITY LIMITS","2023-01-08","0","1 - CLEAR","SUZUKI","GSX-S750 (SUZUKI)","2020","0","2 - WORN, DAMAGED"
"19338677","OUTSIDE CITY LIMITS","2023-01-08","0","1 - CLEAR","HONDA","UNKNOWN (HONDA)","2003","0","4 - WORN, UNK DAMAGE"
"19342958","HOUSTON","2023-01-08","1","1 - CLEAR","HARLEY-DAVIDSON","FLHC (HARLEY-DAVIDSON)","2010","1","1 - NOT WORN"
"19342958","HOUSTON","2023-01-08","1","1 - CLEAR","CHRYSLER","300 (CHRYSLER)","2010","0","97 - NOT APPLICABLE"
"19342958","HOUSTON","2023-01-08","1","1 - CLEAR","DODGE","CHARGER (DODGE)","2018","0","97 - NOT APPLICABLE"
"19356047","OUTSIDE CITY LIMITS","2023-01-08","0","1 - CLEAR","CAN-AM","SPYDER ROADSTER (CAN-AM)","2012","0","4 - WORN, UNK DAMAGE"
"19382792","HOUSTON","2023-01-08","2","1 - CLEAR","HONDA","GL1200 (HONDA)","2009","1","1 - NOT WORN"
"19382792","HOUSTON","2023-01-08","2","1 - CLEAR","No Data","No Data","No Data","1","1 - NOT WORN"
"19329630","HOUSTON","2023-01-09","0","1 - CLEAR","KAWASAKI","UNKNOWN (KAWASAKI)","2006","0","4 - WORN, UNK DAMAGE"
"19329630","HOUSTON","2023-01-09","0","1 - CLEAR","TOYOTA","CAMRY (TOYOTA)","2008","0","97 - NOT APPLICABLE"
"19330192","LAKE WORTH","2023-01-09","0","1 - CLEAR","SUZUKI","GSX (SUZUKI)","2020","0","4 - WORN, UNK DAMAGE"
"19330192","LAKE WORTH","2023-01-09","0","1 - CLEAR","JEEP","WAGONEER (JEEP)","2022","0","97 - NOT APPLICABLE"
"19333154","OUTSIDE CITY LIMITS","2023-01-09","0","1 - CLEAR","HARLEY-DAVIDSON","FLHTKSE (HARLEY-DAVIDSON)","2020","0","1 - NOT WORN"
"19327049","MISSOURI CITY","2023-01-10","0","6 - FOG","GMC","SIERRA (GMC)","2017","0","97 - NOT APPLICABLE"
"19327049","MISSOURI CITY","2023-01-10","0","6 - FOG","KAWASAKI","KZ650 (KAWASAKI)","2017","0","2 - WORN, DAMAGED"
"19330267","HURST","2023-01-10","0","2 - CLOUDY","DODGE","CHALLENGER (DODGE)","2017","0","97 - NOT APPLICABLE"
"19330267","HURST","2023-01-10","0","2 - CLOUDY","KAWASAKI","VN1600 (KAWASAKI)","2007","0","4 - WORN, UNK DAMAGE"
"19332026","DALLAS","2023-01-10","0","1 - CLEAR","HYUNDAI","ELANTRA (HYUNDAI)","2013","0","97 - NOT APPLICABLE"
"19332026","DALLAS","2023-01-10","0","1 - CLEAR","HONDA","CB500 (HONDA)","2017","0","2 - WORN, DAMAGED"
"19333400","OUTSIDE CITY LIMITS","2023-01-10","0","1 - CLEAR","HARLEY-DAVIDSON","UNKNOWN (HARLEY-DAVIDSON)","2006","0","1 - NOT WORN"
"19333400","OUTSIDE CITY LIMITS","2023-01-10","0","1 - CLEAR","TOYOTA","CAMRY (TOYOTA)","2007","0","97 - NOT APPLICABLE"
"19333400","OUTSIDE CITY LIMITS","2023-01-10","0","1 - CLEAR","TOYOTA","CAMRY (TOYOTA)","2007","0","97 - NOT APPLICABLE"
"19336775","OUTSIDE CITY LIMITS","2023-01-10","0","1 - CLEAR","SUZUKI","LT-Z250 (SUZUKI)","2005","0","1 - NOT WORN"
"19337035","GIDDINGS","2023-01-10","0","1 - CLEAR","MAZDA","CX-5 (MAZDA)","2020","0","97 - NOT APPLICABLE"
"19337035","GIDDINGS","2023-01-10","0","1 - CLEAR","HONDA","GL1800 (HONDA)","2006","0","2 - WORN, DAMAGED"
"19344438","OUTSIDE CITY LIMITS","2023-01-10","0","1 - CLEAR","FORD","F150 (FORD)","2018","0","97 - NOT APPLICABLE"
"19344438","OUTSIDE CITY LIMITS","2023-01-10","0","1 - CLEAR","FORD","F150 (FORD)","2018","0","97 - NOT APPLICABLE"
"19344438","OUTSIDE CITY LIMITS","2023-01-10","0","1 - CLEAR","HARLEY-DAVIDSON","FLT (HARLEY-DAVIDSON)","2011","0","2 - WORN, DAMAGED"
"19345306","OUTSIDE CITY LIMITS","2023-01-10","0","1 - CLEAR","OTHER (EXPLAIN IN NARRATIVE)","OTHER (EXPLAIN IN NARRATIVE) (OTHER (EXPLAIN IN NARRATIVE))","2020","0","1 - NOT WORN"
"19329538","SAN ANGELO","2023-01-11","1","1 - CLEAR","SUZUKI","UH200 (SUZUKI)","2019","1","3 - WORN, NOT DAMAGED"
"19329538","SAN ANGELO","2023-01-11","1","1 - CLEAR","FORD","MAVERICK (FORD)","2022","0","97 - NOT APPLICABLE"
"19329558","AUSTIN","2023-01-11","0","2 - CLOUDY","KALYN CO","NOT APPLICABLE (KALYN CO)","2015","0","3 - WORN, NOT DAMAGED"
"19329558","AUSTIN","2023-01-11","0","2 - CLOUDY","KALYN CO","NOT APPLICABLE (KALYN CO)","2015","0","1 - NOT WORN"
"19329558","AUSTIN","2023-01-11","0","2 - CLOUDY","CHEVROLET","C2500 (CHEVROLET)","2021","0","97 - NOT APPLICABLE"
"19329558","AUSTIN","2023-01-11","0","2 - CLOUDY","CHEVROLET","C2500 (CHEVROLET)","2021","0","97 - NOT APPLICABLE"
"19329558","AUSTIN","2023-01-11","0","2 - CLOUDY","CHEVROLET","C2500 (CHEVROLET)","2021","0","97 - NOT APPLICABLE"
"19329558","AUSTIN","2023-01-11","0","2 - CLOUDY","CHEVROLET","C2500 (CHEVROLET)","2021","0","97 - NOT APPLICABLE"
"19331340","VIDOR","2023-01-11","0","1 - CLEAR","TOYOTA","RAV4 (TOYOTA)","2021","0","97 - NOT APPLICABLE"
"19331340","VIDOR","2023-01-11","0","1 - CLEAR","HARLEY-DAVIDSON","FLH (HARLEY-DAVIDSON)","2008","0","1 - NOT WORN"
"19332691","DECATUR","2023-01-11","0","1 - CLEAR","HARLEY-DAVIDSON","FLHX (HARLEY-DAVIDSON)","2006","0","1 - NOT WORN"
"19333021","OUTSIDE CITY LIMITS","2023-01-11","0","1 - CLEAR","RAM","PROMASTER 3500 (RAM)","2021","0","97 - NOT APPLICABLE"
"19333021","OUTSIDE CITY LIMITS","2023-01-11","0","1 - CLEAR","KAWASAKI","VN900 (KAWASAKI)","2016","0","1 - NOT WORN"
"19343621","SAN ANTONIO","2023-01-11","0","6 - FOG","HONDA","CBR600 (HONDA)","2011","0","2 - WORN, DAMAGED"
"19343621","SAN ANTONIO","2023-01-11","0","6 - FOG","FREIGHTLINER","CONVENTIONAL (FREIGHTLINER)","2019","0","97 - NOT APPLICABLE"
"19348284","OUTSIDE CITY LIMITS","2023-01-11","1","2 - CLOUDY","HONDA","VTX1300 (HONDA)","2007","1","1 - NOT WORN"
"19352639","FORT WORTH","2023-01-11","0","1 - CLEAR","FORD","F150 (FORD)","2006","0","97 - NOT APPLICABLE"
"19352639","FORT WORTH","2023-01-11","0","1 - CLEAR","FORD","F150 (FORD)","2006","0","97 - NOT APPLICABLE"
"19352639","FORT WORTH","2023-01-11","0","1 - CLEAR","FORD","F150 (FORD)","2006","0","97 - NOT APPLICABLE"
"19352639","FORT WORTH","2023-01-11","0","1 - CLEAR","SUZUKI","M50 (SUZUKI)","2008","0","99 - UNKNOWN IF WORN"
"19354784","SAN MARCOS","2023-01-11","0","1 - CLEAR","HONDA","CBR1000 (HONDA)","2007","0","1 - NOT WORN"
"19354784","SAN MARCOS","2023-01-11","0","1 - CLEAR","TOYOTA","COROLLA (TOYOTA)","2022","0","97 - NOT APPLICABLE"
"19332193","MIDLOTHIAN","2023-01-12","0","1 - CLEAR","PONTIAC","LEMANS (PONTIAC)","1972","0","97 - NOT APPLICABLE"
"19332193","MIDLOTHIAN","2023-01-12","0","1 - CLEAR","PONTIAC","LEMANS (PONTIAC)","1972","0","97 - NOT APPLICABLE"
"19332193","MIDLOTHIAN","2023-01-12","0","1 - CLEAR","HARLEY-DAVIDSON","ELW (HARLEY-DAVIDSON)","2005","0","99 - UNKNOWN IF WORN"
